publication_number,title,filing_date,grant_date,family_id,assignees,cpc_codes,domains,country,filing_year
CN-1279041-C,Diazabicyclo alkane derivatives with NK1 antagonistic activity,20030402,20061011,28685940,SOLVAY PHARM BV,A61P17/04 | A61P19/02 | A61P11/00 | A61P25/18 | A61P13/02 | A61P11/08 | A61P25/24 | A61P37/00 | A61P9/12 | A61P37/08 | A61P | A61P25/04 | A61P11/16 | A61P25/06 | A61P9/00 | A61P17/00 | A61P13/10 | A61P17/02 | A61P9/10 | A61P1/00 | A61P13/00 | A61P25/00 | A61P7/00 | A61P1/08 | A61P25/28 | A61P27/16 | A61P17/06 | A61P27/00 | A61P19/00 | A61P25/22 | A61P11/06 | A61P43/00 | A61P7/10 | A61P29/00,Pharmaceutical,China,2003
CN-1284260-C,Fuel Cell Power Unit Warm Up,20030227,20061108,28786418,NISSAN MOTOR,H01M8/0432 | H01M | H01M8/0612 | H01M8/04298 | H01M8/04 | H01M8/0662 | H01M8/06 | H01M8/0618 | H01M8/0606 | H01M8/04007 | H01M8/00 | H01M8/04313 | H01M8/04776 | H01M8/04022 | H01M8/04373 | H01M8/0625 | H01M8/04694 | H01M8/0668 | H01M8/04014 | H01M8/04746,Electrochemical,China,2003
CN-1287581-C,Portable device of portable terminal,20030827,20061129,34374067,LG ELECTRONICS CHINA RES & DEV,C21C5/00 | C21C5/38 | C21C5/28 | C21C | C21C2100/00 | C21 | C21C5/40 | C21C2100/02,Metallurgy & Alloys,China,2003
CN-1290211-C,Method for preparing slurry composition for secondary battery electrode,20030702,20061213,30112293,ZEON CORP,H01M4/621 | H01M | H01M10/0525 | H01M10/05 | H01M4/02 | H01M4/00 | H01M10/00 | H01M10/052 | H01M4/04 | H01M4/62,Electrochemical,China,2003
CN-1305609-C,Method for Injection Molding Semi-Solid Alloys,20030505,20070321,29732201,HUSKY INJECTION MOLDING,C22C1/12 | C22 | C22C1/00 | C22C,Metallurgy & Alloys,China,2003
CN-1311584-C,"Polymer electrolyte, lithium battery using same and method for preparing polymer electrolyte and lithium battery",20030618,20070418,29728700,SAMSUNG SDI CO LTD,H01M10/056 | H01M2300/00 | H01M10/0565 | H01M2300/0085 | H01M10/05 | H01M10/00 | H01M2300/0025 | H01M10/0564 | H01M2300/0017 | H01M10/0525 | H01M | H01M10/052,Electrochemical,China,2003
CN-1324038-C,Condensed palatinose and process for producing the same,20030613,20070704,29719002,SUEDZUCKER AG,A61P37/00 | A61P19/08 | A61P | A61P9/00 | A61P9/10 | A61K31/70 | A61P15/08 | A61P1/00 | A61P1/10 | A61P3/00 | A61K31/00 | A61P25/00 | A61P1/12 | A61P15/00 | A61P3/10 | A61P19/00 | A61P29/00 | A61P9/12 | A61P35/00 | A61K | A61P9/04 | A61P31/00 | A61P3/08,Pharmaceutical,China,2003
CN-1326522-C,"Compositions comprising immunomodulatory compounds for the treatment, modification and management of pain",20031024,20070718,32176661,CELGENE CORP,A61K31/00 | A61P29/00 | A61K31/44 | A61K31/395 | A61K31/33 | A61K45/00 | A61K31/435 | A61K | A61K31/4523 | A61P25/00 | A61K31/445 | A61P | A61P25/04 | A61K31/454 | A61K45/06,Pharmaceutical,China,2003
CN-1327563-C,Lamination Apparatus and Methods,20030211,20070718,28673790,3M INNOVATIVE PROPERTIES CO,H01M4/96 | H01M4/8878 | H01M4/8875 | H01M4/8803 | H01M | H01M4/8814 | H01M4/90 | H01M4/8896 | H01M8/1004 | H01M8/10 | H01M4/86 | H01M4/92 | H01M4/00 | H01M2008/1095 | H01M4/88 | H01M4/8605 | H01M8/00,Electrochemical,China,2003
CN-1327844-C,Combination therapy comprising bisphosphonate compound and HMG-COA reductase inhibitor,20030908,20070725,9943733,NOVARTIS AG,A61K31/405 | A61P | A61K31/66 | A61P35/00 | A61K31/33 | A61K31/403 | A61K31/663 | A61K31/404 | A61K31/00 | A61K31/662 | A61K31/40 | A61K45/00 | A61K45/06 | A61K | A61K31/395,Pharmaceutical,China,2003
CN-1330425-C,Improved recovery of precious metals,20030916,20070808,31982958,WMC RESOURCES CO LTD,C22B1/00 | C22 | C22B,Metallurgy & Alloys,China,2003
CN-1512607-B,"Porous film, battery separator containing same, and nonaqueous electrolyte battery using same",20031224,20110511,32463579,NITTO DENKO CORP,H01M50/491 | H01M | H01M10/052 | H01M10/05 | H01M50/417 | H01M50/00 | H01M50/409 | H01M10/00 | H01M50/40 | H01M50/489 | H01M50/411 | H01M50/403 | H01M50/414,Electrochemical,China,2003
CN-1646138-B,Novel therapeutical use of agonist ligands specific to G2A receptor,20030325,20100526,28457618,BIOSYNERGEN INC,A61K31/685 | A61K31/683 | A61P19/06 | A61P11/02 | A61P1/00 | A61P | A61P19/00 | A61P29/00 | A61P37/02 | A61K31/00 | A61P11/06 | A61K | A61P9/00 | A61P31/04 | A61P17/06 | A61P35/00 | A61P17/00 | A61P19/02 | A61P25/00 | A61P3/00 | A61P37/08 | A61P11/00 | A61K31/66 | A61P1/04 | A61P37/00 | A61P43/00 | A61P31/00 | A61P9/10 | A61P3/06 | A61P7/00,Pharmaceutical,China,2003
CN-1662229-B,Application of taurine and/or hypotaurine in preparation of medicine for treating alopecia,20030623,20100526,30003506,OREAL | NESTEC SA,A61K8/72 | A61K | A61K31/195 | A61K8/63 | A61K31/185 | A61K45/06 | A61K2800/92 | A61K31/00 | A61K8/30 | A61K31/19 | A61K9/0095 | A61P17/14 | A61K9/4866 | A61K2800/80 | A61K9/0087 | A61K8/466 | A61K9/2054 | A61K9/205 | A61K8/18 | A61K9/4841 | A61K45/00 | A61K9/48 | A61K9/20 | A61K2800/00 | A61K8/46 | A61K8/00 | A61P | A61K8/86 | A61K9/00 | A61K9/2004 | A61K9/4858 | A61K8/84 | A61P17/00 | A61K9/2022,Pharmaceutical,China,2003
CN-1665764-B,Hydroxytyrosol-enriched compositions from olive vegetable sap and methods of use thereof,20030703,20110525,30114043,CREAGRI INC,A61K8/33 | A61K8/30 | A61K31/7048 | A61K31/70 | A61K31/7042 | A61K31/05 | A61K31/00 | A61K8/347 | A61P17/18 | A61K8/34 | A61P | A61P39/06 | A61P17/00 | A61P17/16 | A61K31/045 | A61K8/18 | A61K8/00 | A61P39/00 | A61K,Pharmaceutical,China,2003
CN-1688606-B,Novel immunogenic lipopeptides containing helper T-cell and B-cell epitopes,20030812,20131225,31715903,QUEENSLAND INST MED RES,A61P15/18 | A61K | A61P | A61K2039/6068 | A61K39/0006 | A61P1/04 | A61K39/0005 | A61P31/00 | A61K39/02 | A61K2039/543 | A61P7/00 | A61P43/00 | A61K2039/6031 | A61K39/09 | A61K39/00 | A61K2039/541 | A61K2039/60 | A61P1/00 | A61P31/04 | A61K38/00 | A61P15/00 | A61P37/02 | A61P37/00 | A61K2039/6018 | A61P15/16 | A61K2039/54,Pharmaceutical,China,2003
CN-1723042-B,"Ethylene-bis-cysteine (EC) -drug conjugates, compositions, and methods for tissue-specific disease imaging",20031107,20101201,32312817,UNIV TEXAS | CELL POINT LLC,A61K49/00 | A61K | A61K51/04 | A61K51/1093 | A61K51/1027 | A61K51/10 | A61K51/081 | A61K51/041 | A61K51/088 | A61K51/0474 | A61K51/02 | A61K51/0459 | A61K51/0453 | A61K51/0487 | A61K51/0402 | A61K51/0455 | A61K51/044 | A61K51/00 | A61K51/08 | A61K51/0491,Pharmaceutical,China,2003
CN-1870983-B,Compositions and foods for improving lipid metabolism,20030214,20101201,27736496,KIRIN BREWERY,A61K36/185 | A61P1/00 | A61P1/16 | A61P27/02 | A61P9/00 | A61K31/122 | A61K | A61P3/06 | A61K31/00 | A61P3/10 | A61P25/00 | A61P9/10 | A61K36/00 | A61K31/12 | A61P13/12 | A61K36/348 | A61K36/18 | A61P | A61P13/00 | A61P43/00 | A61P9/12 | A61P27/00 | A61P3/08 | A61P3/04 | A61K36/3486 | A61P3/00,Pharmaceutical,China,2003
CN-2658141-Y,Fluid purification and disinfection device,20030414,20041124,29287267,AIHUANBAO CO LTD,C02F1/72 | C02F | C02F2303/00 | C02F2301/02 | C02F1/00 | C02F2301/00 | C02F2301/026 | C02F2305/00 | C02F2305/10 | C02F1/30 | C02F1/32 | C02F2303/04 | C02F1/725,Water Treatment,China,2003
CN-100362017-C,Novel antimicrobial peptides with heparin binding activity,20040519,20080116,20291321,DERMAGEN AB,A61K38/17 | A61K38/57 | A61P33/00 | A61K38/00 | A61K38/16 | A61P33/14 | A61K38/39 | A61P | A61K38/1703 | A61K | A61K38/1709 | A61P31/04 | A61K38/55 | A61P31/12 | A61P31/00 | A61P31/10,Pharmaceutical,China,2004
CN-100362686-C,Fuel cell cooling system and method for controlling circulation of cooling liquid in fuel cell,20040729,20080116,34101026,TOYOTA MOTOR CO LTD,H01M8/1007 | H01M8/04044 | H01M | H01M8/10 | H01M8/04 | H01M8/04007 | H01M8/04029 | H01M8/00,Electrochemical,China,2004
CN-100364142-C,Battery,20040621,20080123,34101678,SAMSUNG SDI CO LTD,H01M6/42 | H01M50/574 | H01M50/209 | H01M50/00 | H01M6/00 | H01M50/581 | H01M50/204 | H01M6/10 | H01M50/211 | H01M6/06 | H01M50/50 | H01M50/207 | H01M50/20 | H01M | H01M50/572 | H01M6/04,Electrochemical,China,2004
CN-100368407-C,2-aminobenzothiazoles as CB1 receptor inverse agonists,20040611,20080213,33522251,HOFFMANN LA ROCHE,A61P | A61P3/00 | A61P3/04,Pharmaceutical,China,2004
CN-100378252-C,Partial plating device,20040917,20080402,34270087,NIPPON PLATEC CO LTD,C25 | C25D7/04 | C25D5/02 | C25D | C25D7/00 | C25D5/00 | C25D5/16 | C25D5/022,Electrochemical,China,2004
CN-100385640-C,Anodized substrate support,20040509,20080430,32990571,APPLIED MATERIALS INC,C25D11/16 | C25D11/00 | C25 | C25D11/04 | C25D | C25D11/18 | C25D11/02,Electrochemical,China,2004
CN-100426559-C,Battery pack and manufacturing method thereof,20040512,20081015,33447321,MATSUSHITA ELECTRIC INDUSTRIAL CO LTD,H01M50/213 | H01M | H01M50/207 | H01M50/204 | H01M50/00 | H01M50/20,Electrochemical,China,2004
CN-100428559-C,Method and apparatus for estimating the state of charge of a secondary battery,20040929,20081022,34386289,PANASONIC EV ENERGY CO LTD,H01M10/00 | H01M10/44 | H01M | H01M10/42,Electrochemical,China,2004
CN-100438176-C,Fuel supply equipment and fuel supply system,20040616,20081126,33540498,NOKIA CORP,H01M2250/30 | H01M8/00 | H01M2250/00 | H01M8/10 | H01M | H01M8/04 | H01M8/04082 | H01M8/04201 | H01M2008/1095 | H01M8/04186,Electrochemical,China,2004
CN-100444436-C,Process for manufacturing a catalyst-coated polymer electrolyte membrane,20040624,20081217,33395882,UMICORE AG & CO KG,H01M8/1018 | H01M4/8825 | H01M8/1039 | H01M8/102 | H01M4/88 | H01M8/1067 | H01M8/1023 | H01M8/1032 | H01M8/103 | H01M4/8828 | H01M8/1016 | H01M8/00 | H01M8/1025 | H01M | H01M8/1097 | H01M4/8803 | H01M4/86 | H01M4/881 | H01M4/00 | H01M8/10 | H01M4/8814 | H01M8/1027,Electrochemical,China,2004
CN-100446750-C,Weather Protection Cosmetic Complex,20041021,20081231,34485128,COTY BV,A61K8/31 | A61K8/37 | A61K8/18 | A61K8/8105 | A61K8/33 | A61K2800/41 | A61K8/84 | A61K8/81 | A61K8/73 | A61K2800/00 | A61K8/85 | A61K8/92 | A61K8/737 | A61K8/30 | A61K8/732 | A61K8/72 | A61K8/8117 | A61K2800/594 | A61K | A61K8/34 | A61K2800/412 | A61K2800/40 | A61K2800/59 | A61K8/342 | A61K8/00 | A61K8/8111,Pharmaceutical,China,2004
CN-100450472-C,Medical active agent patch optically less visible on skin,20040408,20090114,33154271,LOHMANN THERAPIE SYST LTS,A61K31/00 | A61K9/00 | A61K | A61K31/435 | A61K31/465 | A61K9/7023 | A61P25/00 | A61K9/70 | A61K31/395 | A61P | A61K31/33 | A61K9/703,Pharmaceutical,China,2004
CN-100457064-C,transdermal drug delivery device,20041028,20090204,34549389,NOVEN PHARMA INC,A61K31/56 | A61K9/7092 | A61K | A61K9/7023 | A61K9/7038 | A61K9/00 | A61P5/00 | A61K9/70 | A61K31/566 | A61K9/703 | A61K31/567 | A61K9/7046 | A61P | A61K9/7084 | A61K9/7069 | A61K31/565 | A61P5/24 | A61K9/7053 | A61K31/00 | A61K9/7061 | A61P5/30,Pharmaceutical,China,2004
CN-100461520-C,Fuel cell system and water recovery method thereof,20041028,20090211,34544198,NISSAN MOTOR,H01M8/04134 | H01M8/04119 | H01M8/04253 | H01M8/0606 | H01M8/04141 | H01M8/00 | H01M8/0612 | H01M8/04223 | H01M8/04082 | H01M8/04089 | H01M8/04029 | H01M8/04126 | H01M2250/00 | H01M8/04156 | H01M8/04 | H01M8/10 | H01M | H01M2250/20 | H01M8/06 | H01M8/04164 | H01M8/1007 | H01M8/04007,Electrochemical,China,2004
CN-100465330-C,Production device and method for multiple-system film and coating tool for multiple-system film,20040629,20090304,33549718,NAT AEROSPACE LAB,C22 | C22C14/00 | C22C,Metallurgy & Alloys,China,2004
CN-100468842-C,Flow field plate structure of fuel cell,20040729,20090311,34313713,GEN MOTORS CORP,H01M | H01M8/0202 | H01M8/0263 | H01M8/00 | H01M8/026 | H01M8/0258 | H01M8/02,Electrochemical,China,2004
CN-100481579-C,Battery pack and method for manufacturing the battery pack,20040430,20090422,32985605,SONY CORP,H01M50/50 | H01M50/00 | H01M50/117 | H01M10/052 | H01M50/116 | H01M10/425 | H01M50/126 | H01M50/121 | H01M50/553 | H01M10/00 | H01M50/552 | H01M50/55 | H01M50/547 | H01M50/10 | H01M50/543 | H01M50/555 | H01M10/05 | H01M50/124 | H01M50/119 | H01M10/42 | H01M | H01M50/129,Electrochemical,China,2004
CN-100505400-C,Fuel Cell Stack Structure,20041222,20090624,34746833,TOYOTA MOTOR CO LTD,H01M | H01M8/0271 | H01M8/241 | H01M8/00 | H01M8/0228 | H01M8/2483 | H01M8/24 | H01M8/0202 | H01M8/0258 | H01M8/02 | H01M8/0297 | H01M8/0223 | H01M8/0276 | H01M8/0267 | H01M8/242 | H01M8/2465 | H01M8/0204,Electrochemical,China,2004
CN-100528871-C,Benzothiazole derivatives as ligands for adenosine receptors,20040514,20090819,33442729,HOFFMANN LA ROCHE,A61P29/02 | A61P11/00 | A61P25/00 | A61P25/28 | A61P37/00 | A61P | A61P25/14 | A61P11/06 | A61P25/22 | A61P29/00 | A61P9/00 | A61P21/00 | A61P37/08 | A61P25/16 | A61P25/08 | A61P9/04 | A61P25/20 | A61P25/04 | A61P25/18 | A61P25/34 | A61P21/02 | A61P25/30 | A61P25/36 | A61P25/32 | A61P25/24 | A61P43/00 | A61P9/10,Pharmaceutical,China,2004
CN-100531753-C,Composition for treating hepatitis c,20040304,20090826,32958817,MATSURA YAKUGYO CO LTD,A61P31/00 | A61P31/12 | A61P35/00 | A61K36/15 | A61K36/00 | A61K36/35 | A61K36/286 | A61P1/16 | A61K36/18 | A61K36/68 | A61K36/13 | A61K | A61K36/185 | A61K36/355 | A61P | A61K36/28 | A61P1/00 | A61K36/42,Pharmaceutical,China,2004
CN-100554527-C,Low uneven surface electrolytic copper foil and manufacture method thereof,20040405,20091028,33156730,FUKUDA METAL FOIL POWDER,C25D3/38 | C25D1/00 | C25 | C25D3/02 | C25D3/00 | C25D1/04 | C25D,Electrochemical,China,2004
CN-100586872-C,Cell for generating disinfection water,20040903,20100203,34270660,WOO JANG GWANG,C02F1/46109 | C02F1/001 | C02F1/467 | C02F1/00 | C02F2303/04 | C02F2303/00 | C02F1/4608 | C02F2001/46152 | C02F9/00 | C02F2301/08 | C02F | C02F1/461 | C02F1/46 | C02F1/46104 | C02F2301/00,Water Treatment,China,2004
CN-101084238-B,receptor selective lymphotoxin derivatives,20041224,20110921,36601356,SHANGHAI FUDAN ZHANGJIANG BIO PHARMACEUTICAL CO LTD | TAIZHOU FUDANZHANGJIANG PHARMACEUTICALS CO LTD,A61P33/00 | A61K | A61P35/00 | A61K38/00 | A61P,Pharmaceutical,China,2004
CN-101132693-B,Compositions and methods for controlling hyperproliferative skin diseases,20041014,20121107,35967805,SAMI LABS LTD,A61K45/00 | A61P17/06 | A61K45/06 | A61K36/00 | A61K31/28 | A61P43/00 | A61P | A61K36/32 | A61K33/00 | A61K36/185 | A61K36/18 | A61K36/324 | A61K31/00 | A61K33/04 | A61K | A61P17/00,Pharmaceutical,China,2004
CN-101653450-B,Improved dietary fiber-containing material comprising low molecular weight dextran,20040402,20120718,33131932,CARGILL INC,A61P3/00 | A61P3/10 | A61P3/08 | A61P3/06 | A61P3/02 | A61K31/70 | A61K31/00 | A61K31/716 | A61K31/715 | A61K | A61P,Pharmaceutical,China,2004
CN-102319417-B,Moderating the effect of endotoxins,20041012,20140813,34354433,NESTEC SA,A61P3/02 | A61K36/00 | A61P1/04 | A61K38/00 | A61K36/062 | A61P1/00 | A61K38/018 | A61P31/00 | A61K38/012 | A61P3/00 | A61K38/01 | A61K35/12 | A61K36/064 | A61P | A61K | A61K36/06 | A61P1/12 | A61P31/04 | A61K35/00,Pharmaceutical,China,2004
CN-102340028-B,Cartridge type lithium ion polymer battery pack,20041012,20140702,36406335,LG CHEMICAL LTD,H01M | H01M6/00 | H01M10/05 | H01M50/211 | H01M10/0564 | H01M50/207 | H01M10/0565 | H01M10/00 | H01M50/503 | H01M50/204 | H01M50/00 | H01M50/50 | H01M50/509 | H01M50/51 | H01M10/056 | H01M6/50 | H01M10/42 | H01M6/5044 | H01M10/48 | H01M6/46 | H01M6/40 | H01M50/20 | H01M50/502 | H01M10/486 | H01M10/0525 | H01M10/052 | H01M6/42,Electrochemical,China,2004
CN-102778562-B,Demonstration of the mediation of cytotoxicity in cells expressing CD44 on the surface,20040820,20140702,34216605,ARIUS RES INC,A61K2039/505 | A61P | A61K49/0013 | A61K39/00 | A61K49/0017 | A61K49/0058 | A61K49/0041 | A61K | A61K49/0019 | A61K49/00 | A61K49/005 | A61K49/0021 | A61K49/001 | A61P35/00,Pharmaceutical,China,2004
CN-1244582-C,"Compound of quinolone carboxylic acid, preparation method and medicinal usage",20040421,20060308,34481428,MEDICINE AND BIOENGINEERING IN,A61P | A61P31/04 | A61P31/00,Pharmaceutical,China,2004
CN-1285136-C,Fuel cell system and fuel supply device,20040804,20061115,34114004,SANYO ELECTRIC CO,H01M8/04186 | H01M8/04082 | H01M8/00 | H01M8/04 | H01M8/06 | H01M | H01M8/04201 | H01M8/04208,Electrochemical,China,2004
CN-1311579-C,The fuel cell,20041224,20070418,34697586,HONDA MOTOR CO LTD,H01M | H01M8/24 | H01M8/0267 | H01M8/2457 | H01M8/241 | H01M8/0263 | H01M8/0258 | H01M8/02 | H01M8/00 | H01M8/0202,Electrochemical,China,2004
CN-1332463-C,Anode-supported flat tubular solid oxide fuel cell stack and manufacturing method thereof,20040823,20070815,34214664,KOREA INST OF ENERGY TECHNOLOG,H01M8/00 | H01M8/002 | H01M4/9041 | H01M4/9033 | H01M4/00 | H01M8/124 | H01M8/24 | H01M4/9066 | H01M4/86 | H01M2008/1293 | H01M4/9016 | H01M8/1246 | H01M4/88 | H01M4/905 | H01M4/90 | H01M4/9025 | H01M | H01M8/1253 | H01M8/02 | H01M8/10 | H01M8/12,Electrochemical,China,2004
CN-1748265-B,"Proton conducting membrane, method for producing the same, and fuel cell using the same",20040205,20120411,32852683,SEKISUI CHEMICAL CO LTD,H01M8/02 | H01M8/1009 | H01M2300/0017 | H01M2300/0082 | H01M8/1007 | H01M2300/00 | H01M8/10 | H01M | H01M2300/0065 | H01M8/0289 | H01M8/00 | H01M8/12,Electrochemical,China,2004
CN-1751041-B,3-Substituted-2-(arylalkyl)-1-azabicycloalkanes and methods for their use,20040220,20100428,32926222,TARGACEPT INC,A61K51/00 | A61P25/24 | A61P | A61P1/02 | A61P19/00 | A61P25/14 | A61P25/28 | A61P25/22 | A61P11/06 | A61P31/04 | A61P37/06 | A61P11/00 | A61P31/12 | A61P25/18 | A61K51/0455 | A61P7/02 | A61P17/00 | A61P25/34 | A61P31/00 | A61P17/06 | A61P25/00 | A61P9/00 | A61P9/10 | A61P43/00 | A61K | A61P35/00 | A61K51/044 | A61P1/00 | A61P25/16 | A61P21/00 | A61P1/04 | A61K51/04 | A61P37/02 | A61P17/04 | A61P19/06 | A61P25/04 | A61P25/32 | A61P37/00 | A61P25/02 | A61P35/02 | A61K51/02 | A61P29/00 | A61P25/30 | A61P13/00 | A61P7/00 | A61K51/041 | A61P13/12 | A61P19/02,Pharmaceutical,China,2004
CN-1756763-B,dimerized peptide,20040115,20100526,32709100,DAINIPPON SUMITOMO PHARMA CO | CHUGAI PHARMACEUTICAL CO LTD | INT INST CANCER IMMUNOLOGY INC,A61P37/04 | A61P | A61P43/00 | A61P37/00 | A61P37/02 | A61K | A61K39/0011 | A61K39/0005 | A61K39/00 | A61P35/00,Pharmaceutical,China,2004
CN-1762323-B,"Process for the treatment of keratin fibers dyed with a composition, and its use for color protection",20041210,20120314,34508643,OREAL,A61K8/4946 | A61K2800/42 | A61K8/46 | A61K2800/40 | A61K8/602 | A61K2800/59 | A61K2800/00 | A61K8/60 | A61K8/18 | A61K2800/596 | A61K | A61K8/00 | A61K8/49 | A61K2800/43 | A61K8/604 | A61K8/30 | A61K2800/432 | A61K8/463 | A61K8/494,Pharmaceutical,China,2004
CN-1780623-B,PTEN inhibitor or MAXI-K channel opener,20040224,20110914,32930512,OTSUKA PHARMA CO LTD,A61K31/47 | A61P15/00 | A61P25/00 | A61P25/04 | A61P | A61P25/14 | A61P31/04 | A61P1/06 | A61P25/02 | A61P31/00 | A61P7/10 | A61P13/06 | A61K31/395 | A61P25/24 | A61K31/00 | A61P13/00 | A61K | A61K31/435 | A61P7/00 | A61P25/06 | A61P25/08 | A61P15/04 | A61K31/4709 | A61K31/33 | A61P1/00 | A61P25/22 | A61P25/28 | A61P43/00 | A61P25/16 | A61P15/06,Pharmaceutical,China,2004
CN-1809377-B,Orally dosed pharmaceutical compositions comprising a delivery agent in micronized form,20040709,20100804,34062133,NOVARTIS AG,A61K47/06 | A61K38/23 | A61K9/1617 | A61K38/22 | A61K47/18 | A61P19/08 | A61K9/1605 | A61K38/17 | A61K38/00 | A61K47/183 | A61K9/00 | A61P | A61K9/20 | A61K47/00 | A61K9/2004 | A61K9/14 | A61P19/00 | A61K | A61K9/2013 | A61K47/16 | A61K38/16 | A61K9/16,Pharmaceutical,China,2004
CN-1816649-B,Electrochemical half-cell,20040621,20101215,33521340,BAYER MATERIALSCIENCE AG | DENORA DEUTSCHLAND GMBH,C25B11/03 | C25B9/65 | C25B11/00 | C25 | C25B11/031 | C25B11/02 | C25B9/17 | C25B9/00 | C25B9/19 | C25B9/60 | C25B,Electrochemical,China,2004
CN-1852730-B,Modulator of P-selectin glycoprotein ligand 1,20040909,20120530,36242362,ABGENOMICS CORP,A61K | A61K38/00 | A61K39/00 | A61K38/17 | A61K2039/505 | A61K38/16,Pharmaceutical,China,2004
CN-1860115-B,Process for preparing chiral propionic acid derivatives,20040921,20110907,34354426,HOFFMANN LA ROCHE,A61P | A61P3/10 | A61P3/08 | A61P3/00,Pharmaceutical,China,2004
CN-1867551-B,Phenyl or pyridyl amide compounds as prostaglandin E2 antagonists,20040823,20130911,34272919,RAQUALIA PHARMA INC,A61P5/18 | A61P37/00 | A61P31/12 | A61P7/04 | A61P31/14 | A61P35/00 | A61P21/04 | A61P19/02 | A61P25/16 | A61P27/02 | A61P3/08 | A61P7/02 | A61P43/00 | A61P17/04 | A61P15/08 | A61P19/04 | A61P1/04 | A61P27/16 | A61P29/00 | A61P3/00 | A61K31/44 | A61P7/10 | A61K31/4412 | A61P37/02 | A61P25/02 | A61P25/06 | A61P21/00 | A61K | A61P17/02 | A61P15/10 | A61P37/06 | A61P9/02 | A61P9/10 | A61P31/16 | A61P | A61P9/00 | A61P11/06 | A61P19/00 | A61P17/06 | A61K31/395 | A61P31/00 | A61P25/00 | A61P7/06 | A61P1/16 | A61P25/04 | A61P39/00 | A61P31/04 | A61P5/14 | A61P15/00 | A61P25/08 | A61P17/00 | A61P5/00 | A61P29/02 | A61P19/10 | A61P3/02 | A61P25/20 | A61K31/33 | A61P1/10 | A61P35/04 | A61P13/12 | A61P37/08 | A61P13/00 | A61P11/00 | A61P27/00 | A61K31/00 | A61P1/02 | A61P7/00 | A61P7/12 | A61P19/06 | A61K31/435 | A61P1/12 | A61P25/14 | A61P19/08 | A61P13/02 | A61P39/02 | A61P15/06 | A61P31/18 | A61P9/12 | A61P11/02 | A61P25/28 | A61P27/06 | A61P3/10 | A61P1/00,Pharmaceutical,China,2004
CN-1871351-B,Novel fungal proteins and nucleic acids encoding same,20040825,20100623,34216166,FUNZYME BIOTECHNOLOGIES SA,A61K38/00 | A61P31/00 | A61P37/00 | A61P37/08 | A61P31/10 | A61K | A61P1/00 | A61P | A61P1/14 | A61P43/00,Pharmaceutical,China,2004
CN-1882356-B,Propylene glycol-containing peptide formulations optimized for production and use in injection devices,20041118,20150225,34609967,NOVO NORDISK AS,A61K47/08 | A61K47/18 | A61K9/0019 | A61K38/00 | A61K47/06 | A61P3/04 | A61K38/28 | A61K47/26 | A61K47/16 | A61K | A61K9/00 | A61P3/00 | A61K38/26 | A61P3/08 | A61K47/10 | A61K47/20 | A61K38/16 | A61P5/48 | A61K47/00 | A61P3/10 | A61K38/17 | A61P | A61P5/50 | A61K38/22 | A61K47/183 | A61P5/00 | A61K9/0012,Pharmaceutical,China,2004
CN-1890359-B,Inhibition of Microorganism Adhesion by Nonionic Surfactants,20041117,20120111,34672728,HENKEL AG & CO KGAA,A61K | A61P | A61K31/00 | A61P31/00 | A61P31/10,Pharmaceutical,China,2004
CN-1898231-B,Dihexahydropyridine derivatives useful as chemokine receptor inhibitors,20041101,20101027,34549586,SCHERING CORP,A61P25/00 | A61P9/02 | A61P19/02 | A61P11/06 | A61P17/06 | A61P31/12 | A61P31/14 | A61P9/00 | A61P37/06 | A61P17/00 | A61P37/08 | A61P1/04 | A61P37/00 | A61P29/00 | A61P11/00 | A61P31/00 | A61P43/00 | A61P1/00 | A61P31/18 | A61P | A61P19/00 | A61P37/02,Pharmaceutical,China,2004
CN-1902353-B,"Stabilized body care products, household products, textiles and fabrics",20041025,20120815,34530786,CIBA SPEC CHEM CORP,A61K8/36 | A61K8/368 | A61K8/30 | A61K2800/52 | A61K8/4966 | A61K8/494 | A61K | A61K8/33 | A61K8/37 | A61K2800/40 | A61K8/40 | A61K8/18 | A61K2800/00 | A61K8/41 | A61K8/49 | A61K8/35 | A61K8/00,Pharmaceutical,China,2004
CN-1913862-B,Oral and personal care compositions and methods,20041216,20101117,34700089,COLGATE PALMOLIVE CO,A61P17/00 | A61P | A61K8/00 | A61K | A61K8/0208 | A61K8/02,Pharmaceutical,China,2004
CN-1913912-B,Pharmaceutical compositions and methods for insulin therapy,20041202,20100616,34676771,CPEX PHARMACEUTICALS INC,A61K47/26 | A61K9/1075 | A61K47/14 | A61K38/28 | A61K9/0012 | A61K9/10 | A61K9/0043 | A61K47/08 | A61K38/17 | A61K38/00 | A61K9/00 | A61P3/10 | A61K | A61K9/107 | A61K47/30 | A61K47/44 | A61K38/16 | A61K38/22 | A61P | A61P3/00 | A61K47/34 | A61K47/00 | A61K47/06 | A61K47/10 | A61P3/08 | A61K9/0019,Pharmaceutical,China,2004
CN-1993296-B,Drainage purification device,20040730,20110126,35786001,EIWA LAND ENVIRONMENT CO LTD,C02F3/12 | C02F11/18 | C02F11/00 | C02F | C02F2209/00 | C02F3/1252 | C02F3/02 | C02F11/04 | C02F3/121 | C02F2103/00 | C02F3/1205 | C02F3/1242 | C02F3/1236 | C02F11/10 | C02F11/02 | C02F2103/005 | C02F3/00,Water Treatment,China,2004
