publication_number,title,filing_date,grant_date,family_id,assignees,cpc_codes,domains,country,filing_year
US-11045437-B2,Composition for improving brain function,20190826,20210629,69586984,AJINOMOTO KK,A61K31/395 | A61K31/197 | A61K31/33 | A61K31/404 | A61K31/403 | A61K31/40 | A61K31/198 | A61K31/195 | A61P25/00 | A61K | A61K31/401 | A61K31/19 | A61P25/28 | A61P | A61K31/185 | A61K31/405 | A61K31/00,Pharmaceutical,United States,2019
US-11065326-B2,Live-attenuated vaccine having mutations in viral polymerase for the treatment and prevention of canine influenza virus,20191001,20210720,56801864,UNIV CORNELL | UNIV ROCHESTER,A61P31/00 | A61P31/16 | A61P31/14 | A61K39/00 | A61K2039/54 | A61K2039/5254 | A61K39/145 | A61P31/12 | A61K2039/552 | A61P | A61K2039/55 | A61K2039/51 | A61K2039/525 | A61K2039/543 | A61K2039/541 | A61K39/12 | A61K | A61K2039/58,Pharmaceutical,United States,2019
US-11077119-B2,Enhanced brain bioavailability of galantamine by selected formulations and transmucosal administration of lipophilic prodrugs,20190227,20210803,67685323,NEURODYN LIFE SCIENCES INC,A61K31/395 | A61P | A61P25/00 | A61K9/14 | A61K9/2806 | A61K9/00 | A61K9/0043 | A61K9/107 | A61K9/2833 | A61K31/00 | A61K9/28 | A61K9/0053 | A61K9/2086 | A61K9/284 | A61K31/55 | A61K9/10 | A61K9/2886 | A61K9/0012 | A61K9/2072 | A61K9/20 | A61K | A61K9/006 | A61K9/1075 | A61K9/2846 | A61K31/33,Pharmaceutical,United States,2019
US-11115572-B2,"Automatic focusing system, method, and vehicular camera device therefor",20191029,20210907,74646689,TRIPLE WIN TECH SHENZHEN CO LTD,C22F | C22F1/006 | C22F1/00 | C22,Metallurgy & Alloys,United States,2019
US-11133508-B2,"Electrode plate including current collector having conductive layer disposed on insulating layer and protective layer disposed on condutive layer, and battery including the same",20190403,20210928,63633901,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,H01M10/00 | H01M50/50 | H01M50/00 | H01M10/42 | H01M10/0587 | H01M10/4235 | H01M10/05 | H01M4/667 | H01M50/538 | H01M4/043 | H01M10/058 | H01M4/04 | H01M4/0435 | H01M4/66 | H01M4/64 | H01M10/0431 | H01M4/665 | H01M4/70 | H01M4/13 | H01M10/04 | H01M4/00 | H01M4/668 | H01M10/052 | H01M50/531 | H01M | H01M4/02,Electrochemical,United States,2019
US-11154078-B2,Liquid food composition comprising Sophora japonica extract,20190822,20211026,67659221,AMOREPACIFIC CORP,A61K36/18 | A61K | A61K36/88 | A61K36/899 | A61K36/185 | A61K36/48 | A61K36/00 | A61K36/489,Pharmaceutical,United States,2019
US-11214573-B2,"Azetidinyl phenyl, pyridyl or pyrazinyl carboxamide derivatives as JAK inhibitors",20191113,20220104,46513833,INCYTE HOLDINGS CORP | INCYTE CORP,A61P43/00 | A61P35/02 | A61P21/04 | A61P19/00 | A61P29/00 | A61K31/00 | A61P13/00 | A61P19/06 | A61K31/395 | A61P5/00 | A61P21/00 | A61P37/00 | A61P7/00 | A61P | A61P17/02 | A61K31/33 | A61P37/08 | A61P17/00 | A61K31/505 | A61K31/506 | A61P35/00 | A61P35/04 | A61P13/12 | A61P19/02 | A61P1/00 | A61P1/04 | A61P9/00 | A61P37/02 | A61P17/06 | A61P25/00 | A61P19/08 | A61K | A61P3/00 | A61P19/10 | A61P5/14 | A61K31/495 | A61P3/08 | A61P3/10 | A61P37/06,Pharmaceutical,United States,2019
US-11242588-B2,System and method to apply multiple thermal treatments to workpiece and related turbomachine components,20191212,20220208,74186415,GEN ELECTRIC,C21D9/0062 | C21D1/34 | C21D1/42 | C21D1/00 | C22F | C21D11/005 | C21D2221/00 | C21D11/00 | C21D1/773 | C21D1/56 | C22F1/10 | C21D1/767 | C21D1/613 | C21D9/0068 | C22 | C22F1/00 | C21D | C21D9/00 | C22F1/02 | C21D1/74 | C21,Metallurgy & Alloys,United States,2019
US-11283105-B2,Battery having high battery capacity,20190425,20220322,64916061,BOE TECHNOLOGY GROUP CO LTD,H01M10/052 | H01M10/0562 | H01M2300/00 | H01M | H01M2300/0017 | H01M50/531 | H01M10/0413 | H01M4/02 | H01M10/05 | H01M10/056 | H01M4/0402 | H01M10/00 | H01M50/50 | H01M10/0418 | H01M4/64 | H01M50/00 | H01M4/04 | H01M10/0561 | H01M10/04 | H01M10/058 | H01M4/00 | H01M2300/0065 | H01M4/0404,Electrochemical,United States,2019
US-11357788-B2,Nuclear paraspeckle assembly transcript 1 as therapeutic targeting in neurodegeneration,20190315,20220614,67904777,ACADEMIA SINICA,A61K31/00 | A61P25/16 | A61K31/70 | A61P25/28 | A61K31/7088 | A61K31/7105 | A61P25/14 | A61K | A61P25/00 | A61P,Pharmaceutical,United States,2019
US-11359211-B2,RNA-guided human genome engineering,20190429,20220614,50979072,HARVARD COLLEGE,A61K48/00 | A61K,Pharmaceutical,United States,2019
US-11414766-B2,System and method for generation of gases,20190320,20220816,66624711,TECHNION RES & DEVELOPMENT FOUND LTD,C25B15/027 | C25B1/04 | C25B9/00 | C25B15/023 | C25B | C25 | C25B15/025 | C25B1/01 | C25B1/02 | C25B15/00 | C25B1/00 | C25B15/02 | C25B9/70,Electrochemical,United States,2019
US-11452973-B2,Reverse osmosis membrane and method for producing reverse osmosis membrane,20190124,20220927,67395295,UNIV SHINSHU | KITAGAWA IND CO LTD,C02F2103/00 | C02F2103/08 | C02F1/44 | C02F1/00 | C02F2101/12 | C02F1/441 | C02F | C02F2101/00 | C02F2101/10,Water Treatment,United States,2019
US-11502291-B2,Cathode active material for lithium secondary battery and method of manufacturing the same,20191122,20221115,70770442,SK INNOVATION CO LTD,H01M10/05 | H01M4/1391 | H01M2004/028 | H01M4/48 | H01M2004/026 | H01M4/602 | H01M2004/021 | H01M4/04 | H01M4/02 | H01M4/62 | H01M4/60 | H01M4/525 | H01M4/621 | H01M4/52 | H01M4/505 | H01M4/00 | H01M4/485 | H01M10/052 | H01M4/622 | H01M4/50 | H01M4/139 | H01M10/0525 | H01M4/604 | H01M4/362 | H01M4/628 | H01M10/00 | H01M4/13 | H01M4/36 | H01M4/606 | H01M4/0471 | H01M4/366 | H01M4/608 | H01M,Electrochemical,United States,2019
US-11541221-B2,Tubing set with antimicrobial properties,20190621,20230103,70460025,ICU MEDICAL INC,A61K31/155 | A61K | A61K31/13 | A61K9/0019 | A61K31/00 | A61K9/00 | A61K9/0012,Pharmaceutical,United States,2019
US-11578011-B2,Freeze concentration for urine-based fertilizer production,20190815,20230214,69523692,UNIV MICHIGAN REGENTS,C02F1/00 | C02F | C02F1/22,Water Treatment,United States,2019
US-11690891-B2,Methods of treatment using decolorized Aloe vera extracts,20191104,20230704,70460254,HERBALIFE INT OF AMERICA INC,A61K36/00 | A61K36/886 | A61K9/0053 | A61K9/0012 | A61P1/04 | A61P1/00 | A61K9/00 | A61K36/88 | A61K36/18 | A61K | A61P,Pharmaceutical,United States,2019
US-11831014-B2,"Positive electrode active material for secondary battery, method for preparing same, and lithium secondary battery including same",20190221,20231128,67687861,LG CHEMICAL LTD,H01M4/0471 | H01M4/52 | H01M4/50 | H01M10/05 | H01M2004/028 | H01M2004/026 | H01M4/131 | H01M4/04 | H01M10/00 | H01M4/48 | H01M4/36 | H01M4/485 | H01M4/00 | H01M | H01M4/366 | H01M4/362 | H01M4/505 | H01M4/525 | H01M4/62 | H01M10/0525 | H01M4/13 | H01M4/02 | H01M10/052,Electrochemical,United States,2019
US-11883521-B2,Hair treatment composition,20191008,20240130,64048906,CONOPCO INC,A61K8/18 | A61K8/40 | A61K8/84 | A61K8/33 | A61K2800/80 | A61K8/41 | A61K8/362 | A61K8/30 | A61K2800/59 | A61K | A61K2800/00 | A61K8/00 | A61K2800/40 | A61K8/891 | A61K2800/805 | A61K8/898 | A61K8/36 | A61K8/896 | A61K8/72 | A61K2800/594 | A61K8/89,Pharmaceutical,United States,2019
US-11927636-B2,"Diagnostic device, energy storage apparatus, and diagnostic method",20190327,20240312,68059202,GS YUASA INT LTD,H01M50/20 | H01M50/569 | H01M10/052 | H01M | H01M10/48 | H01M50/574 | H01M10/42 | H01M10/05 | H01M10/00 | H01M50/204 | H01M50/50 | H01M50/00 | H01M50/207 | H01M10/425 | H01M50/209 | H01M50/572 | H01M2200/20 | H01M50/249 | H01M2200/00 | H01M2010/4271 | H01M50/583 | H01M50/284,Electrochemical,United States,2019
US-11978895-B2,Secondary battery electrode plate comprising a protrusion and secondary battery using the same,20191217,20240507,71101830,SANYO ELECTRIC CO,H01M4/46 | H01M50/183 | H01M4/00 | H01M50/102 | H01M50/531 | H01M2220/20 | H01M50/10 | H01M4/36 | H01M4/64 | H01M50/50 | H01M50/103 | H01M | H01M50/184 | H01M4/38 | H01M50/00 | H01M50/536 | H01M4/463 | H01M4/78 | H01M50/534 | H01M2220/00 | H01M4/70 | H01M4/661 | H01M4/66 | H01M4/02,Electrochemical,United States,2019
US-12021223-B2,Positive electrode for alkali secondary battery and alkali secondary battery including said positive electrode,20190815,20240625,69887112,FDK CORP,H01M4/02 | H01M | H01M2004/028 | H01M10/30 | H01M4/62 | H01M10/00 | H01M2004/021 | H01M2004/026 | H01M4/32 | H01M4/24 | H01M10/24 | H01M4/00,Electrochemical,United States,2019
